time;device_id;msg_type;position_time;lat;lon
06/08/2024 8:46;229175;poll_msg;06/08/2024 8:22;383833006;-26973765
06/08/2024 9:01;229175;poll_msg;06/08/2024 9:01;383831285;-26974375
06/08/2024 9:16;229175;seq_msg;;;
06/08/2024 9:16;229175;poll_msg;06/08/2024 9:01;383831285;-26974375
06/08/2024 9:26;229175;poll_msg;06/08/2024 9:01;383831285;-26974375
06/08/2024 9:31;229175;poll_msg;06/08/2024 9:01;383831285;-26974375
06/08/2024 9:46;229175;seq_msg;;;
06/08/2024 9:46;229175;poll_msg;06/08/2024 9:46;383833375;-2697512
06/08/2024 10:01;229175;poll_msg;06/08/2024 10:01;383834599;-26980214
06/08/2024 10:16;229175;seq_msg;;;
06/08/2024 10:16;229175;poll_msg;06/08/2024 10:06;383834577;-26982378
06/08/2024 10:31;229175;poll_msg;06/08/2024 10:29;383835341;-26980767
06/08/2024 10:46;229175;seq_msg;;;
06/08/2024 10:46;229175;poll_msg;06/08/2024 10:29;383835341;-26980767
06/08/2024 11:01;229175;poll_msg;06/08/2024 10:29;383835341;-26980767
06/08/2024 11:16;229175;seq_msg;;;
06/08/2024 11:16;229175;poll_msg;06/08/2024 11:16;3838344;-26979347
06/08/2024 11:16;229175;poll_msg;06/08/2024 11:16;3838344;-26979347
06/08/2024 11:17;229175;poll_msg;06/08/2024 11:16;3838344;-26979347
06/08/2024 11:31;229175;poll_msg;06/08/2024 11:16;3838344;-26979347
06/08/2024 11:32;229175;poll_msg;06/08/2024 11:16;3838344;-26979347
06/08/2024 11:46;229175;seq_msg;;;
06/08/2024 11:46;229175;poll_msg;06/08/2024 11:37;383835805;-26979811
06/08/2024 12:01;229175;poll_msg;06/08/2024 11:37;383835805;-26979811
06/08/2024 12:16;229175;seq_msg;;;
06/08/2024 12:16;229175;poll_msg;06/08/2024 11:37;383835805;-26979811
06/08/2024 12:31;229175;poll_msg;06/08/2024 12:31;383834352;-26980395
06/08/2024 12:46;229175;seq_msg;;;
06/08/2024 12:46;229175;poll_msg;06/08/2024 12:44;383834657;-26978094
06/08/2024 13:01;229175;poll_msg;06/08/2024 13:01;383824507;-26985415
06/08/2024 13:16;229175;seq_msg;;;
06/08/2024 13:16;229175;poll_msg;06/08/2024 13:16;383833251;-26976066
06/08/2024 13:17;229175;poll_msg;06/08/2024 13:17;383833362;-26975956
06/08/2024 13:31;229175;poll_msg;06/08/2024 13:17;383833374;-2697684
06/08/2024 13:46;229175;seq_msg;;;
06/08/2024 13:46;229175;poll_msg;06/08/2024 13:43;383834309;-26979822
06/08/2024 14:01;229175;poll_msg;06/08/2024 13:43;383834309;-26979822
06/08/2024 14:16;229175;seq_msg;;;
06/08/2024 14:16;229175;poll_msg;06/08/2024 13:43;383834309;-26979822
06/08/2024 14:31;229175;poll_msg;06/08/2024 14:31;383825907;-26985023
06/08/2024 14:46;229175;seq_msg;;;
06/08/2024 14:46;229175;poll_msg;06/08/2024 14:46;38382506;-26982086
06/08/2024 15:01;229175;poll_msg;06/08/2024 15:01;383829642;-26980583
06/08/2024 15:16;229175;seq_msg;;;
06/08/2024 15:16;229175;poll_msg;06/08/2024 15:13;383831284;-26979518
06/08/2024 15:31;229175;poll_msg;06/08/2024 15:13;383831284;-26979518
06/08/2024 15:46;229175;seq_msg;;;
06/08/2024 15:46;229175;poll_msg;06/08/2024 15:46;383830245;-26983423
06/08/2024 16:01;229175;poll_msg;06/08/2024 16:01;38382972;-26985066
06/08/2024 16:16;229175;seq_msg;;;
06/08/2024 16:16;229175;poll_msg;06/08/2024 16:16;383832743;-26980846
06/08/2024 16:18;229175;poll_msg;06/08/2024 16:18;38383228;-26980458
06/08/2024 16:31;229175;poll_msg;06/08/2024 16:24;383833037;-26981367
06/08/2024 16:46;229175;seq_msg;;;
06/08/2024 16:46;229175;poll_msg;06/08/2024 16:41;383834379;-26981055
06/08/2024 17:01;229175;poll_msg;06/08/2024 16:41;383834379;-26981055
06/08/2024 17:02;229175;poll_msg;06/08/2024 16:41;383834379;-26981055
06/08/2024 17:16;229175;seq_msg;;;
06/08/2024 17:16;229175;poll_msg;06/08/2024 17:16;383830255;-26982837
06/08/2024 17:31;229175;poll_msg;06/08/2024 17:31;38382316;-26984374
06/08/2024 17:46;229175;seq_msg;;;
06/08/2024 17:46;229175;poll_msg;06/08/2024 17:46;383831389;-26976416
06/08/2024 18:01;229175;poll_msg;06/08/2024 18:01;383823551;-26979104
06/08/2024 18:16;229175;seq_msg;;;
06/08/2024 18:16;229175;poll_msg;06/08/2024 18:16;383827092;-26979123
06/08/2024 18:17;229175;poll_msg;06/08/2024 18:17;38382845;-26979783
06/08/2024 18:31;229175;poll_msg;06/08/2024 18:31;383826446;-26981144
06/08/2024 18:46;229175;seq_msg;;;
06/08/2024 18:46;229175;poll_msg;06/08/2024 18:46;383827301;-26980627
06/08/2024 19:01;229175;poll_msg;06/08/2024 19:01;383826058;-26983042
06/08/2024 19:16;229175;seq_msg;;;
06/08/2024 19:16;229175;poll_msg;06/08/2024 19:16;383828841;-26984405
06/08/2024 19:24;229175;warning_message;06/08/2024 19:24;383821611;-26989326
06/08/2024 19:31;229175;poll_msg;06/08/2024 19:31;383824943;-26989319
06/08/2024 19:46;229175;seq_msg;;;
06/08/2024 19:46;229175;poll_msg;06/08/2024 19:46;383825871;-26987661
06/08/2024 20:01;229175;poll_msg;06/08/2024 20:01;383825949;-26985592
06/08/2024 20:16;229175;seq_msg;;;
06/08/2024 20:16;229175;poll_msg;06/08/2024 20:13;383825894;-26987756
06/08/2024 20:31;229175;poll_msg;06/08/2024 20:31;383826738;-26987419
06/08/2024 20:46;229175;seq_msg;;;
06/08/2024 20:46;229175;poll_msg;06/08/2024 20:42;383825496;-26986991
06/08/2024 21:01;229175;poll_msg;06/08/2024 21:01;383825892;-26986569
06/08/2024 21:16;229175;seq_msg;;;
06/08/2024 21:16;229175;poll_msg;06/08/2024 21:16;383826289;-26986868
06/08/2024 21:31;229175;poll_msg;06/08/2024 21:20;383825525;-26987128
06/08/2024 21:46;229175;seq_msg;;;
06/08/2024 21:46;229175;poll_msg;06/08/2024 21:20;383825525;-26987128
06/08/2024 22:01;229175;poll_msg;06/08/2024 21:20;383825525;-26987128
06/08/2024 22:16;229175;seq_msg;;;
06/08/2024 22:16;229175;poll_msg;06/08/2024 21:20;383825525;-26987128
